name,slug,mainCategory,city,address,lat,lng,phone,website,locationUrl,rating,numReviews,priceLevel,coverImageUrl,galleryUrls,source,sourcePlaceId,sourceTypes
Moods Café-Restaurant,moods-cafe-restaurant-casablanca-a20c98fc78,CAFE,Casablanca,"Rue Mourabitine, Casablanca 20000, Morocco",33.6065793,-7.6191761,+212 5 22 20 20 25,https://www.moods.ma/,https://maps.google.com/?cid=13837384137459731222,4.8,8817,,,[],google_places,ChIJtU9ahK3Tpw0RFovpNY9DCMA,"['cafe', 'establishment', 'food', 'point_of_interest', 'restaurant']"
La Sqala,la-sqala-casablanca-380502fee8,RESTAURANT,Casablanca,"Bd des Almohades, Casablanca 20250, Morocco",33.6029941,-7.619021899999999,+212 5 22 26 09 60,http://www.sqala.ma/,https://maps.google.com/?cid=1456470335818965839,4.2,10737,2.0,,[],google_places,ChIJ8WntvYbSpw0RTyNiwA1sNhQ,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Restaurant Dar El Kaid,restaurant-dar-el-kaid-casablanca-f09399530f,RESTAURANT,Casablanca,"Rue Mohamed El Alaoui, Ex rue des Synagogues, Casablanca 20000, Morocco",33.5967312,-7.6186203,+212 6 62 37 69 30,https://www.darelkaid.ma/,https://maps.google.com/?cid=1883179296318107432,4.4,932,,,[],google_places,ChIJ-VAifgbTpw0RKC9prZdlIho,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Organic Kitchen,organic-kitchen-casablanca-deed8ee768,RESTAURANT,Casablanca,"6-8 Rue Ahmed El Mokri, Casablanca 20000, Morocco",33.5907078,-7.638283500000001,+212 5 22 94 37 75,http://www.organickitchen.ma/,https://maps.google.com/?cid=7836500394686123047,4.6,1249,2.0,,[],google_places,ChIJT4hQbu7Spw0RJ4x545bXwGw,"['establishment', 'food', 'point_of_interest', 'restaurant']"
El Cenador,el-cenador-casablanca-67434e7a3d,RESTAURANT,Casablanca,"J85X+VCG Complexe au Petit Rocher, Casablanca 20160, Morocco",33.60953850000001,-7.651385499999999,+212 5 22 36 36 04,,https://maps.google.com/?cid=5858616147284647206,4.3,615,3.0,,[],google_places,ChIJAd1Kd1TSpw0RJt1Eflj8TVE,"['establishment', 'food', 'point_of_interest', 'restaurant']"
El Gousto,el-gousto-casablanca-ee4d7bbd2b,RESTAURANT,Casablanca,"17 Rue Bab Al Irfane, Casablanca 20250, Morocco",33.59176679999999,-7.645081999999999,+212 5 22 36 57 57,https://restaurant-elgousto.com/,https://maps.google.com/?cid=11197516948564492330,4.5,989,2.0,,[],google_places,ChIJ5xUVbOXSpw0RKkCadVaSZZs,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Le Cabestan,le-cabestan-casablanca-b1634d71ca,RESTAURANT,Casablanca,"Phare d'El hank، 90 شارع الكورنيش، الدار البيضاء 20000, Morocco",33.6081836,-7.6554723,+212 5 22 39 11 90,http://www.le-cabestan.com/,https://maps.google.com/?cid=16113631857245544990,4.2,6173,3.0,,[],google_places,ChIJ5ewLT6vTpw0RHuKJ7Mwen98,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Dar Dada,dar-dada-casablanca-83fbea1d2f,RESTAURANT,Casablanca,"31 Rue El Arsa, Casablanca 20250, Morocco",33.6039639,-7.621391600000001,+212 6 61 60 26 02,http://www.dardada.com/,https://maps.google.com/?cid=13196899723668024090,4.1,2795,3.0,,[],google_places,ChIJ5-qT8fzTpw0RGuuu5WDOJLc,"['establishment', 'food', 'point_of_interest', 'restaurant']"
Rick's Café,rick-s-cafe-casablanca-e3dfd3afdf,BAR,Casablanca,"Place du jardin public, 248 Bd Sour Jdid, Casablanca 20250, Morocco",33.6050488,-7.620404600000001,+212 5 22 27 42 07,http://www.rickscafe.ma/,https://maps.google.com/?cid=4140673929643322788,4.2,5985,3.0,,[],google_places,ChIJ0U24wYfSpw0RpG0cMwChdjk,"['establishment', 'food', 'point_of_interest', 'restaurant', 'tourist_attraction']"
Baobao,baobao-casablanca-f6eb0f6984,RESTAURANT,Casablanca,"134 Rue Attabari, Casablanca 20330, Morocco",33.5759332,-7.6491032,+212 5 22 94 63 74,https://www.instagram.com/baobaoofficiel?igsh=ZHMwdWtqd3RoeXZk,https://maps.google.com/?cid=9351507160648490805,4.6,3417,2.0,,[],google_places,ChIJ-YWrFDTTpw0RNZ_5WDc6x4E,"['establishment', 'food', 'point_of_interest', 'restaurant']"
